InvoiceID,QuoteID,Status,IssuedAt,PaidAt,Total
INV_AGEN_0001,EST_AGEN_0001,paid,2026-01-26T00:00:00Z,2026-02-01T00:00:00Z,5355.02
INV_AGEN_0002,EST_AGEN_0002,overdue,2026-01-17T00:00:00Z,,3440.19
INV_AGEN_0003,EST_AGEN_0003,paid,2025-11-19T00:00:00Z,2025-11-25T00:00:00Z,5122.79
INV_AGEN_0004,EST_AGEN_0005,overdue,2026-01-17T00:00:00Z,,6977.26
INV_AGEN_0005,EST_AGEN_0006,paid,2026-01-06T00:00:00Z,2026-01-24T00:00:00Z,2629.13
INV_AGEN_0006,EST_AGEN_0007,paid,2025-12-06T00:00:00Z,2025-12-24T00:00:00Z,4218.98
INV_AGEN_0007,EST_AGEN_0008,paid,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,3059.88
INV_AGEN_0008,EST_AGEN_0013,open,2026-02-01T00:00:00Z,,3344.49
INV_AGEN_0009,EST_AGEN_0014,open,2025-12-02T00:00:00Z,,3884.63
INV_AGEN_0010,EST_AGEN_0016,paid,2026-01-17T00:00:00Z,2026-02-01T00:00:00Z,2152.95
INV_AGEN_0011,EST_AGEN_0018,open,2025-12-12T00:00:00Z,,3859.34
INV_AGEN_0012,EST_AGEN_0020,paid,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,3425.74
INV_AGEN_0013,EST_AGEN_0021,overdue,2025-12-26T00:00:00Z,,5797.09
INV_AGEN_0014,EST_AGEN_0025,paid,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,4343.32
INV_AGEN_0015,EST_AGEN_0026,paid,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,3656.93
INV_AGEN_0016,EST_AGEN_0027,paid,2026-01-30T00:00:00Z,2026-02-01T00:00:00Z,4399.74
INV_AGEN_0017,EST_AGEN_0030,overdue,2026-02-01T00:00:00Z,,5852.67
INV_AGEN_0018,EST_AGEN_0031,paid,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z,5463.48
INV_AGEN_0019,EST_AGEN_0032,open,2026-02-01T00:00:00Z,,2071.92
INV_AGEN_0020,EST_AGEN_0035,paid,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,4260.58
INV_AGEN_0021,EST_AGEN_0039,paid,2026-01-19T00:00:00Z,2026-01-27T00:00:00Z,4605.05
INV_AGEN_0022,EST_AGEN_0040,open,2026-02-01T00:00:00Z,,3148.43
INV_AGEN_0023,EST_AGEN_0041,paid,2026-01-28T00:00:00Z,2026-02-01T00:00:00Z,2554.17
INV_AGEN_0024,EST_AGEN_0042,overdue,2026-02-01T00:00:00Z,,1894.41
