InvoiceID,QuoteID,Status,IssuedAt,PaidAt,Total
INV_HOME_0001,EST_HOME_0001,overdue,2026-01-01T00:00:00Z,,1181.52
INV_HOME_0002,EST_HOME_0002,paid,2025-12-11T00:00:00Z,2025-12-23T00:00:00Z,2517.57
INV_HOME_0003,EST_HOME_0003,overdue,2025-12-13T00:00:00Z,,1804.94
INV_HOME_0004,EST_HOME_0005,paid,2025-11-28T00:00:00Z,2025-12-03T00:00:00Z,2917.36
INV_HOME_0005,EST_HOME_0006,paid,2026-01-11T00:00:00Z,2026-02-01T00:00:00Z,2777.21
INV_HOME_0006,EST_HOME_0007,paid,2026-01-02T00:00:00Z,2026-01-25T00:00:00Z,2614.08
INV_HOME_0007,EST_HOME_0008,paid,2025-12-02T00:00:00Z,2025-12-25T00:00:00Z,1827.28
INV_HOME_0008,EST_HOME_0009,paid,2026-01-12T00:00:00Z,2026-02-01T00:00:00Z,2112.67
INV_HOME_0009,EST_HOME_0012,paid,2026-01-11T00:00:00Z,2026-01-28T00:00:00Z,1232.17
INV_HOME_0010,EST_HOME_0013,paid,2026-01-03T00:00:00Z,2026-01-28T00:00:00Z,446.33
INV_HOME_0011,EST_HOME_0016,paid,2025-12-25T00:00:00Z,2026-01-20T00:00:00Z,469.89
INV_HOME_0012,EST_HOME_0017,paid,2026-02-03T00:00:00Z,2026-02-09T00:00:00Z,2730.58
INV_HOME_0013,EST_HOME_0018,open,2026-01-03T00:00:00Z,,1681.60
INV_HOME_0014,EST_HOME_0019,paid,2026-01-09T00:00:00Z,2026-02-04T00:00:00Z,2862.27
INV_HOME_0015,EST_HOME_0022,paid,2025-12-23T00:00:00Z,2026-01-07T00:00:00Z,666.98
INV_HOME_0016,EST_HOME_0023,paid,2025-11-30T00:00:00Z,2025-12-14T00:00:00Z,2420.41
INV_HOME_0017,EST_HOME_0024,paid,2025-12-12T00:00:00Z,2026-01-04T00:00:00Z,2249.31
INV_HOME_0018,EST_HOME_0025,paid,2025-12-26T00:00:00Z,2026-01-08T00:00:00Z,2304.70
INV_HOME_0019,EST_HOME_0027,overdue,2026-01-10T00:00:00Z,,1678.28
INV_HOME_0020,EST_HOME_0028,open,2025-12-28T00:00:00Z,,1691.54
INV_HOME_0021,EST_HOME_0029,overdue,2026-01-08T00:00:00Z,,647.87
INV_HOME_0022,EST_HOME_0030,paid,2026-01-01T00:00:00Z,2026-01-19T00:00:00Z,431.47
INV_HOME_0023,EST_HOME_0031,paid,2026-01-05T00:00:00Z,2026-01-21T00:00:00Z,2248.37
INV_HOME_0024,EST_HOME_0032,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,662.50
INV_HOME_0025,EST_HOME_0033,paid,2025-12-09T00:00:00Z,2025-12-27T00:00:00Z,548.56
INV_HOME_0026,EST_HOME_0037,open,2026-01-11T00:00:00Z,,731.09
INV_HOME_0027,EST_HOME_0038,paid,2026-01-07T00:00:00Z,2026-01-28T00:00:00Z,1804.89
INV_HOME_0028,EST_HOME_0039,paid,2025-12-27T00:00:00Z,2026-01-03T00:00:00Z,389.44
INV_HOME_0029,EST_HOME_0040,paid,2025-12-16T00:00:00Z,2025-12-23T00:00:00Z,803.89
INV_HOME_0030,EST_HOME_0042,overdue,2025-12-16T00:00:00Z,,473.90
INV_HOME_0031,EST_HOME_0043,paid,2025-12-31T00:00:00Z,2026-01-15T00:00:00Z,1719.49
INV_HOME_0032,EST_HOME_0044,overdue,2026-01-06T00:00:00Z,,1384.11
