EstimateID,Status,CreatedAt,ApprovedAt,Total
EST_HOME_0001,approved,2025-12-17T00:00:00Z,2025-12-26T00:00:00Z,1255.20
EST_HOME_0002,approved,2025-12-03T00:00:00Z,2025-12-08T00:00:00Z,2475.88
EST_HOME_0003,approved,2025-12-07T00:00:00Z,2025-12-11T00:00:00Z,1819.95
EST_HOME_0004,rejected,2025-12-09T00:00:00Z,,2072.35
EST_HOME_0005,approved,2025-11-20T00:00:00Z,2025-11-23T00:00:00Z,2866.72
EST_HOME_0006,approved,2025-12-22T00:00:00Z,2026-01-06T00:00:00Z,2681.29
EST_HOME_0007,approved,2025-12-18T00:00:00Z,2025-12-27T00:00:00Z,2650.23
EST_HOME_0008,approved,2025-11-21T00:00:00Z,2025-12-01T00:00:00Z,1857.23
EST_HOME_0009,approved,2025-12-26T00:00:00Z,2026-01-07T00:00:00Z,2086.36
EST_HOME_0010,sent,2025-12-11T00:00:00Z,,2888.73
EST_HOME_0011,rejected,2025-12-13T00:00:00Z,,2439.23
EST_HOME_0012,approved,2025-12-27T00:00:00Z,2026-01-06T00:00:00Z,1289.39
EST_HOME_0013,approved,2025-12-17T00:00:00Z,2026-01-02T00:00:00Z,423.04
EST_HOME_0014,sent,2025-12-27T00:00:00Z,,2239.24
EST_HOME_0015,rejected,2025-12-21T00:00:00Z,,1852.86
EST_HOME_0016,approved,2025-12-14T00:00:00Z,2025-12-20T00:00:00Z,461.45
EST_HOME_0017,approved,2026-01-20T00:00:00Z,2026-02-02T00:00:00Z,2730.09
EST_HOME_0018,approved,2025-12-20T00:00:00Z,2025-12-29T00:00:00Z,1700.44
EST_HOME_0019,approved,2025-12-29T00:00:00Z,2026-01-04T00:00:00Z,2735.05
EST_HOME_0020,rejected,2025-12-01T00:00:00Z,,509.75
EST_HOME_0021,sent,2025-12-16T00:00:00Z,,1353.18
EST_HOME_0022,approved,2025-12-05T00:00:00Z,2025-12-17T00:00:00Z,655.93
EST_HOME_0023,approved,2025-11-13T00:00:00Z,2025-11-26T00:00:00Z,2506.13
EST_HOME_0024,approved,2025-12-02T00:00:00Z,2025-12-06T00:00:00Z,2418.53
EST_HOME_0025,approved,2025-12-09T00:00:00Z,2025-12-22T00:00:00Z,2262.38
EST_HOME_0026,rejected,2025-12-09T00:00:00Z,,1398.59
EST_HOME_0027,approved,2025-12-24T00:00:00Z,2026-01-05T00:00:00Z,1800.64
EST_HOME_0028,approved,2025-12-24T00:00:00Z,2025-12-26T00:00:00Z,1786.22
EST_HOME_0029,approved,2025-12-24T00:00:00Z,2026-01-03T00:00:00Z,680.18
EST_HOME_0030,approved,2025-12-17T00:00:00Z,2025-12-31T00:00:00Z,439.10
EST_HOME_0031,approved,2025-12-20T00:00:00Z,2026-01-04T00:00:00Z,2121.73
EST_HOME_0032,approved,2026-01-31T00:00:00Z,2026-02-09T00:00:00Z,712.20
EST_HOME_0033,approved,2025-12-02T00:00:00Z,2025-12-07T00:00:00Z,518.11
EST_HOME_0034,rejected,2025-12-09T00:00:00Z,,2230.31
EST_HOME_0035,rejected,2026-02-06T00:00:00Z,,681.36
EST_HOME_0036,rejected,2025-12-25T00:00:00Z,,1619.24
EST_HOME_0037,approved,2025-12-28T00:00:00Z,2026-01-09T00:00:00Z,717.20
EST_HOME_0038,approved,2025-12-28T00:00:00Z,2026-01-06T00:00:00Z,1862.08
EST_HOME_0039,approved,2025-12-12T00:00:00Z,2025-12-26T00:00:00Z,376.15
EST_HOME_0040,approved,2025-12-09T00:00:00Z,2025-12-11T00:00:00Z,799.91
EST_HOME_0041,rejected,2025-12-16T00:00:00Z,,1440.89
EST_HOME_0042,approved,2025-12-11T00:00:00Z,2025-12-15T00:00:00Z,450.91
EST_HOME_0043,approved,2025-12-11T00:00:00Z,2025-12-27T00:00:00Z,1750.00
EST_HOME_0044,approved,2025-12-25T00:00:00Z,2026-01-02T00:00:00Z,1346.13
EST_HOME_0045,sent,2025-12-20T00:00:00Z,,1929.50
