JobID,QuoteID,Status,StartDate,StartTime,EndDate,EndTime,Total
JOB_PROF_0001,EST_PROF_0001,in_progress,2026-01-28,12:00,2026-01-28,13:00,11316.00
JOB_PROF_0002,EST_PROF_0003,scheduled,2026-02-09,16:00,2026-02-10,17:00,7141.10
JOB_PROF_0003,EST_PROF_0006,completed,2026-02-09,12:00,2026-02-09,16:00,9711.39
JOB_PROF_0004,EST_PROF_0007,completed,2026-02-09,15:00,2026-02-09,16:00,3730.68
JOB_PROF_0005,EST_PROF_0008,completed,2026-01-01,14:00,2026-01-01,18:00,8518.61
JOB_PROF_0006,EST_PROF_0011,completed,2026-02-09,07:00,2026-02-10,08:00,2514.97
JOB_PROF_0007,EST_PROF_0017,in_progress,2025-12-14,08:00,2025-12-14,10:00,5207.15
JOB_PROF_0008,EST_PROF_0018,in_progress,2026-01-17,09:00,2026-01-17,10:00,7962.81
JOB_PROF_0009,EST_PROF_0019,completed,2025-12-08,12:00,2025-12-08,13:00,5869.88
JOB_PROF_0010,EST_PROF_0023,completed,2026-02-09,14:00,2026-02-09,17:00,9072.17
JOB_PROF_0011,EST_PROF_0024,completed,2026-02-01,15:00,2026-02-01,16:00,4194.24
JOB_PROF_0012,EST_PROF_0025,completed,2026-02-09,09:00,2026-02-10,11:00,6931.13
JOB_PROF_0013,EST_PROF_0030,completed,2026-01-16,11:00,2026-01-16,13:00,4996.68
JOB_PROF_0014,EST_PROF_0032,completed,2026-01-24,12:00,2026-01-24,13:00,5704.70
JOB_PROF_0015,EST_PROF_0033,completed,2026-02-09,15:00,2026-02-09,16:00,5760.90
