InvoiceID,QuoteID,Status,IssuedAt,PaidAt,Total
INV_PROF_0001,EST_PROF_0002,paid,2025-12-16T00:00:00Z,2025-12-29T00:00:00Z,6864.92
INV_PROF_0002,EST_PROF_0003,overdue,2026-02-09T00:00:00Z,,9953.47
INV_PROF_0003,EST_PROF_0007,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,3383.26
INV_PROF_0004,EST_PROF_0008,paid,2025-12-20T00:00:00Z,2026-01-08T00:00:00Z,3576.71
INV_PROF_0005,EST_PROF_0010,open,2026-02-09T00:00:00Z,,8392.62
INV_PROF_0006,EST_PROF_0011,open,2026-01-19T00:00:00Z,,6578.04
INV_PROF_0007,EST_PROF_0012,paid,2025-12-11T00:00:00Z,2025-12-23T00:00:00Z,7675.89
INV_PROF_0008,EST_PROF_0013,paid,2025-12-09T00:00:00Z,2026-01-11T00:00:00Z,7337.36
INV_PROF_0009,EST_PROF_0014,paid,2025-12-21T00:00:00Z,2026-01-16T00:00:00Z,4936.92
INV_PROF_0010,EST_PROF_0016,overdue,2026-02-09T00:00:00Z,,3021.52
INV_PROF_0011,EST_PROF_0017,overdue,2025-11-29T00:00:00Z,,2874.19
INV_PROF_0012,EST_PROF_0019,open,2025-12-03T00:00:00Z,,6029.38
INV_PROF_0013,EST_PROF_0020,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,5477.81
INV_PROF_0014,EST_PROF_0023,paid,2026-01-27T00:00:00Z,2026-02-09T00:00:00Z,5443.39
INV_PROF_0015,EST_PROF_0024,overdue,2025-12-16T00:00:00Z,,6846.45
INV_PROF_0016,EST_PROF_0025,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,8396.38
INV_PROF_0017,EST_PROF_0027,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,4388.79
INV_PROF_0018,EST_PROF_0028,paid,2025-12-30T00:00:00Z,2026-02-03T00:00:00Z,4274.96
INV_PROF_0019,EST_PROF_0031,paid,2026-02-02T00:00:00Z,2026-02-09T00:00:00Z,7912.95
INV_PROF_0020,EST_PROF_0032,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,2930.40
INV_PROF_0021,EST_PROF_0033,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,6791.57
