JobID,QuoteID,Status,StartDate,StartTime,EndDate,EndTime,Total
JOB_HOME_0001,EST_HOME_0003,in_progress,2026-01-01,13:00,2026-01-02,17:00,2838.27
JOB_HOME_0002,EST_HOME_0004,scheduled,2025-12-22,07:00,2025-12-22,08:00,951.49
JOB_HOME_0003,EST_HOME_0007,scheduled,2026-01-28,08:00,2026-01-28,12:00,2900.27
JOB_HOME_0004,EST_HOME_0008,completed,2025-12-24,11:00,2025-12-24,15:00,426.83
JOB_HOME_0005,EST_HOME_0011,completed,2026-01-02,09:00,2026-01-03,11:00,890.76
JOB_HOME_0006,EST_HOME_0012,completed,2025-12-23,15:00,2025-12-23,18:00,2779.03
JOB_HOME_0007,EST_HOME_0014,completed,2025-12-10,09:00,2025-12-10,11:00,2769.99
JOB_HOME_0008,EST_HOME_0015,completed,2025-12-16,14:00,2025-12-17,16:00,1974.79
JOB_HOME_0009,EST_HOME_0017,completed,2026-01-12,07:00,2026-01-12,10:00,2717.22
JOB_HOME_0010,EST_HOME_0018,completed,2026-02-09,14:00,2026-02-10,15:00,2584.20
JOB_HOME_0011,EST_HOME_0022,completed,2025-11-26,08:00,2025-11-27,12:00,1123.85
JOB_HOME_0012,EST_HOME_0023,completed,2026-02-09,16:00,2026-02-09,19:00,406.92
JOB_HOME_0013,EST_HOME_0024,completed,2025-12-09,09:00,2025-12-09,12:00,1775.76
JOB_HOME_0014,EST_HOME_0025,completed,2026-01-02,13:00,2026-01-02,15:00,1057.53
JOB_HOME_0015,EST_HOME_0027,completed,2025-12-10,14:00,2025-12-11,18:00,1193.80
JOB_HOME_0016,EST_HOME_0029,completed,2026-02-09,15:00,2026-02-09,17:00,1054.48
JOB_HOME_0017,EST_HOME_0031,completed,2026-01-29,09:00,2026-01-29,12:00,2262.09
JOB_HOME_0018,EST_HOME_0032,completed,2026-02-09,09:00,2026-02-09,13:00,1002.99
JOB_HOME_0019,EST_HOME_0033,completed,2025-12-25,14:00,2025-12-26,16:00,2374.98
JOB_HOME_0020,EST_HOME_0038,completed,2025-12-29,11:00,2025-12-29,12:00,2209.86
