InvoiceID,QuoteID,Status,IssuedAt,PaidAt,Total
INV_HOME_0001,EST_HOME_0003,paid,2025-12-27T00:00:00Z,2026-01-07T00:00:00Z,1651.10
INV_HOME_0002,EST_HOME_0004,overdue,2025-12-17T00:00:00Z,,980.15
INV_HOME_0003,EST_HOME_0006,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,1295.35
INV_HOME_0004,EST_HOME_0007,paid,2026-01-06T00:00:00Z,2026-02-02T00:00:00Z,425.40
INV_HOME_0005,EST_HOME_0008,overdue,2025-12-29T00:00:00Z,,813.22
INV_HOME_0006,EST_HOME_0009,paid,2025-12-15T00:00:00Z,2025-12-28T00:00:00Z,1822.86
INV_HOME_0007,EST_HOME_0010,paid,2025-12-25T00:00:00Z,2025-12-30T00:00:00Z,2468.78
INV_HOME_0008,EST_HOME_0012,open,2025-12-19T00:00:00Z,,2208.72
INV_HOME_0009,EST_HOME_0016,overdue,2026-01-09T00:00:00Z,,1510.16
INV_HOME_0010,EST_HOME_0019,paid,2025-12-20T00:00:00Z,2026-01-09T00:00:00Z,1864.59
INV_HOME_0011,EST_HOME_0020,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,1315.07
INV_HOME_0012,EST_HOME_0021,paid,2025-12-23T00:00:00Z,2026-01-14T00:00:00Z,1622.06
INV_HOME_0013,EST_HOME_0022,open,2025-12-23T00:00:00Z,,2235.85
INV_HOME_0014,EST_HOME_0023,paid,2025-12-29T00:00:00Z,2026-01-16T00:00:00Z,2084.57
INV_HOME_0015,EST_HOME_0026,paid,2025-12-29T00:00:00Z,2026-01-14T00:00:00Z,689.90
INV_HOME_0016,EST_HOME_0028,open,2025-12-21T00:00:00Z,,2449.83
INV_HOME_0017,EST_HOME_0034,paid,2025-12-22T00:00:00Z,2026-01-17T00:00:00Z,2429.92
INV_HOME_0018,EST_HOME_0036,paid,2025-12-13T00:00:00Z,2025-12-23T00:00:00Z,1215.23
INV_HOME_0019,EST_HOME_0037,paid,2025-12-31T00:00:00Z,2026-01-27T00:00:00Z,943.78
INV_HOME_0020,EST_HOME_0038,paid,2025-12-03T00:00:00Z,2025-12-21T00:00:00Z,592.93
INV_HOME_0021,EST_HOME_0039,open,2025-12-29T00:00:00Z,,1243.40
INV_HOME_0022,EST_HOME_0040,paid,2025-12-09T00:00:00Z,2025-12-25T00:00:00Z,463.36
INV_HOME_0023,EST_HOME_0041,paid,2025-12-09T00:00:00Z,2025-12-23T00:00:00Z,1688.27
INV_HOME_0024,EST_HOME_0043,paid,2025-12-19T00:00:00Z,2025-12-26T00:00:00Z,1461.32
INV_HOME_0025,EST_HOME_0044,overdue,2026-01-10T00:00:00Z,,1777.77
INV_HOME_0026,EST_HOME_0045,paid,2026-01-11T00:00:00Z,2026-01-16T00:00:00Z,1891.85
