JobID,QuoteID,Status,StartDate,StartTime,EndDate,EndTime,Total
JOB_LOGI_0001,EST_LOGI_0001,completed,2025-11-30,14:00,2025-11-30,16:00,936.00
JOB_LOGI_0002,EST_LOGI_0002,completed,2025-12-06,12:00,2025-12-06,16:00,4210.84
JOB_LOGI_0003,EST_LOGI_0003,in_progress,2025-11-27,15:00,2025-11-27,16:00,3740.56
JOB_LOGI_0004,EST_LOGI_0008,completed,2025-11-25,16:00,2025-11-26,17:00,1436.78
JOB_LOGI_0005,EST_LOGI_0009,completed,2026-01-07,13:00,2026-01-07,15:00,1595.65
JOB_LOGI_0006,EST_LOGI_0012,completed,2026-02-03,09:00,2026-02-03,11:00,955.00
JOB_LOGI_0007,EST_LOGI_0015,completed,2025-12-20,11:00,2025-12-20,13:00,3700.16
JOB_LOGI_0008,EST_LOGI_0018,scheduled,2025-12-18,14:00,2025-12-18,16:00,3683.85
JOB_LOGI_0009,EST_LOGI_0019,completed,2026-02-09,12:00,2026-02-09,16:00,2279.75
JOB_LOGI_0010,EST_LOGI_0022,completed,2025-12-01,11:00,2025-12-02,12:00,3353.74
JOB_LOGI_0011,EST_LOGI_0026,scheduled,2026-02-03,08:00,2026-02-03,11:00,3614.35
JOB_LOGI_0012,EST_LOGI_0027,completed,2025-12-07,07:00,2025-12-07,09:00,3104.48
JOB_LOGI_0013,EST_LOGI_0028,completed,2025-12-26,08:00,2025-12-26,09:00,1905.57
JOB_LOGI_0014,EST_LOGI_0029,completed,2025-12-15,12:00,2025-12-15,14:00,1488.27
JOB_LOGI_0015,EST_LOGI_0032,in_progress,2026-02-09,14:00,2026-02-10,18:00,1510.59
JOB_LOGI_0016,EST_LOGI_0036,completed,2026-01-18,13:00,2026-01-18,17:00,3294.42
JOB_LOGI_0017,EST_LOGI_0038,in_progress,2025-12-27,10:00,2025-12-27,14:00,1174.78
JOB_LOGI_0018,EST_LOGI_0040,completed,2025-11-22,10:00,2025-11-23,14:00,3629.08
JOB_LOGI_0019,EST_LOGI_0041,scheduled,2026-01-20,12:00,2026-01-20,14:00,2486.85
JOB_LOGI_0020,EST_LOGI_0043,scheduled,2025-11-28,08:00,2025-11-28,10:00,1568.68
JOB_LOGI_0021,EST_LOGI_0044,completed,2025-12-19,10:00,2025-12-19,14:00,2293.30
