InvoiceID,QuoteID,Status,IssuedAt,PaidAt,Total
INV_SAAS_0001,EST_SAAS_0003,overdue,2025-12-08T00:00:00Z,,3421.69
INV_SAAS_0002,EST_SAAS_0004,overdue,2026-01-26T00:00:00Z,,2874.81
INV_SAAS_0003,EST_SAAS_0005,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,1717.77
INV_SAAS_0004,EST_SAAS_0008,paid,2026-02-01T00:00:00Z,2026-02-09T00:00:00Z,1136.93
INV_SAAS_0005,EST_SAAS_0009,paid,2025-12-05T00:00:00Z,2025-12-27T00:00:00Z,3520.77
INV_SAAS_0006,EST_SAAS_0010,paid,2025-11-24T00:00:00Z,2025-12-14T00:00:00Z,1924.90
INV_SAAS_0007,EST_SAAS_0011,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,2280.39
INV_SAAS_0008,EST_SAAS_0012,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,1517.32
INV_SAAS_0009,EST_SAAS_0013,paid,2025-12-03T00:00:00Z,2025-12-20T00:00:00Z,2829.80
INV_SAAS_0010,EST_SAAS_0015,open,2026-02-09T00:00:00Z,,1071.70
INV_SAAS_0011,EST_SAAS_0017,paid,2026-01-15T00:00:00Z,2026-01-18T00:00:00Z,1659.13
INV_SAAS_0012,EST_SAAS_0018,open,2026-01-26T00:00:00Z,,2786.45
INV_SAAS_0013,EST_SAAS_0019,paid,2026-02-09T00:00:00Z,2026-02-09T00:00:00Z,865.94
INV_SAAS_0014,EST_SAAS_0021,paid,2026-02-07T00:00:00Z,2026-02-09T00:00:00Z,1270.82
INV_SAAS_0015,EST_SAAS_0022,paid,2026-01-14T00:00:00Z,2026-01-30T00:00:00Z,1980.30
INV_SAAS_0016,EST_SAAS_0023,paid,2026-01-12T00:00:00Z,2026-01-16T00:00:00Z,972.30
INV_SAAS_0017,EST_SAAS_0024,paid,2025-12-09T00:00:00Z,2025-12-16T00:00:00Z,1266.44
INV_SAAS_0018,EST_SAAS_0026,overdue,2026-01-30T00:00:00Z,,1850.89
INV_SAAS_0019,EST_SAAS_0030,overdue,2026-02-09T00:00:00Z,,1052.73
INV_SAAS_0020,EST_SAAS_0031,paid,2026-02-05T00:00:00Z,2026-02-09T00:00:00Z,772.63
INV_SAAS_0021,EST_SAAS_0033,paid,2025-11-26T00:00:00Z,2025-12-15T00:00:00Z,900.34
