EstimateID,Status,CreatedAt,ApprovedAt,Total
EST_ECOM_0001,rejected,2025-12-24T00:00:00Z,,703.50
EST_ECOM_0002,sent,2026-01-26T00:00:00Z,,537.83
EST_ECOM_0003,approved,2026-01-21T00:00:00Z,2026-01-25T00:00:00Z,1184.50
EST_ECOM_0004,rejected,2025-12-30T00:00:00Z,,1512.51
EST_ECOM_0005,sent,2025-11-20T00:00:00Z,,718.54
EST_ECOM_0006,rejected,2025-11-28T00:00:00Z,,667.14
EST_ECOM_0007,approved,2026-01-19T00:00:00Z,2026-01-25T00:00:00Z,1417.11
EST_ECOM_0008,approved,2025-11-21T00:00:00Z,2025-11-22T00:00:00Z,420.00
EST_ECOM_0009,approved,2025-12-16T00:00:00Z,2025-12-20T00:00:00Z,931.20
EST_ECOM_0010,sent,2026-01-26T00:00:00Z,,421.03
EST_ECOM_0011,approved,2026-01-31T00:00:00Z,2026-02-05T00:00:00Z,527.93
EST_ECOM_0012,approved,2025-12-31T00:00:00Z,2026-01-08T00:00:00Z,820.49
EST_ECOM_0013,approved,2026-01-27T00:00:00Z,2026-02-01T00:00:00Z,492.90
EST_ECOM_0014,approved,2025-12-23T00:00:00Z,2025-12-30T00:00:00Z,1407.60
EST_ECOM_0015,rejected,2026-01-02T00:00:00Z,,867.10
EST_ECOM_0016,approved,2026-01-06T00:00:00Z,2026-01-08T00:00:00Z,275.14
EST_ECOM_0017,approved,2025-11-17T00:00:00Z,2025-11-27T00:00:00Z,569.60
EST_ECOM_0018,approved,2025-11-22T00:00:00Z,2025-11-24T00:00:00Z,1274.74
EST_ECOM_0019,rejected,2025-12-09T00:00:00Z,,318.17
EST_ECOM_0020,approved,2025-11-21T00:00:00Z,2025-11-28T00:00:00Z,787.51
EST_ECOM_0021,approved,2025-12-30T00:00:00Z,2026-01-08T00:00:00Z,779.57
EST_ECOM_0022,approved,2025-12-26T00:00:00Z,2026-01-02T00:00:00Z,1281.60
EST_ECOM_0023,approved,2025-12-02T00:00:00Z,2025-12-03T00:00:00Z,158.89
EST_ECOM_0024,approved,2026-01-30T00:00:00Z,2026-02-05T00:00:00Z,1267.49
EST_ECOM_0025,rejected,2025-12-14T00:00:00Z,,389.96
EST_ECOM_0026,approved,2026-01-24T00:00:00Z,2026-01-29T00:00:00Z,1012.57
EST_ECOM_0027,rejected,2026-01-05T00:00:00Z,,611.69
EST_ECOM_0028,approved,2025-12-09T00:00:00Z,2025-12-19T00:00:00Z,485.83
EST_ECOM_0029,approved,2026-01-30T00:00:00Z,2026-02-03T00:00:00Z,309.10
EST_ECOM_0030,rejected,2025-12-16T00:00:00Z,,722.00
EST_ECOM_0031,sent,2025-11-19T00:00:00Z,,667.50
EST_ECOM_0032,sent,2025-12-06T00:00:00Z,,131.09
EST_ECOM_0033,sent,2026-01-04T00:00:00Z,,939.61
EST_ECOM_0034,approved,2026-01-29T00:00:00Z,2026-01-30T00:00:00Z,265.37
EST_ECOM_0035,sent,2025-12-14T00:00:00Z,,183.59
EST_ECOM_0036,rejected,2025-12-11T00:00:00Z,,283.00
EST_ECOM_0037,approved,2025-12-30T00:00:00Z,2026-01-02T00:00:00Z,366.69
EST_ECOM_0038,rejected,2025-12-15T00:00:00Z,,281.71
EST_ECOM_0039,rejected,2025-11-27T00:00:00Z,,294.80
EST_ECOM_0040,approved,2025-12-17T00:00:00Z,2025-12-19T00:00:00Z,413.91
EST_ECOM_0041,sent,2026-01-17T00:00:00Z,,423.43
EST_ECOM_0042,approved,2026-01-16T00:00:00Z,2026-01-21T00:00:00Z,453.49
EST_ECOM_0043,rejected,2025-12-07T00:00:00Z,,863.10
EST_ECOM_0044,approved,2025-11-16T00:00:00Z,2025-11-24T00:00:00Z,348.09
EST_ECOM_0045,approved,2025-11-22T00:00:00Z,2025-11-28T00:00:00Z,135.07
EST_ECOM_0046,rejected,2025-12-31T00:00:00Z,,911.14
EST_ECOM_0047,approved,2026-01-03T00:00:00Z,2026-01-10T00:00:00Z,284.04
EST_ECOM_0048,approved,2025-12-21T00:00:00Z,2025-12-31T00:00:00Z,386.94
EST_ECOM_0049,rejected,2025-11-20T00:00:00Z,,666.09
EST_ECOM_0050,approved,2026-01-05T00:00:00Z,2026-01-08T00:00:00Z,102.40
